     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   IND  4.1164e+01  1.9092e+00  3.4453e+00  7.6400e+00  1.1942e+01  2.6618e+01  1.8107e+01  9.9467e+02  1.2763e+01  3.1835e+00  4.0155e+00  6.5641e+01  5.7707e+00  4.3472e+01  1.8271e+01  4.3882e+00
   SOA  4.1377e+00  1.6176e-01  3.7111e-01  5.3149e-01  1.4969e+00  3.3802e+00  1.9788e+00  2.1278e+00  1.1093e+02  2.4459e-01  3.2422e-01  7.2189e+00  6.2266e-01  3.0962e+00  5.1504e-01  4.9650e-01
   BRA  3.2809e+01  2.7183e+00  2.0436e+00  1.0138e+00  4.9384e+00  9.2942e+00  2.9443e+00  1.0473e+00  4.3932e-01  2.4454e+02  1.3576e+01  2.6182e+01  2.9632e+00  5.9284e+00  4.3027e+00  1.8208e+00
   LAM  1.2501e+02  9.8472e+00  8.1413e+00  2.8588e+00  1.1773e+01  2.1048e+01  5.6333e+00  1.9081e+00  9.3255e-01  1.8166e+01  4.8813e+02  6.4840e+01  5.9345e+00  8.4021e+00  4.2019e+00  4.6298e+00
   WEU  2.1494e+02  1.1018e+01  1.8410e+01  1.6133e+01  4.6600e+01  8.0450e+01  3.2025e+01  1.3054e+01  6.5471e+00  1.3768e+01  2.3286e+01  2.8424e+03  9.1376e+01  8.0202e+01  3.7137e+01  2.9150e+01
   REU  5.3314e+01  2.8179e+00  5.2672e+00  4.7797e+00  1.3984e+01  2.7929e+01  1.1937e+01  4.2419e+00  2.0076e+00  4.6691e+00  7.0543e+00  2.6725e+02  8.5649e+02  3.4891e+01  7.8696e+00  3.5525e+01
   MNA  1.3259e+02  6.7912e+00  9.5007e+00  1.3438e+01  1.0847e+02  1.2143e+02  4.0316e+01  3.8392e+01  3.0592e+01  1.3218e+01  1.2064e+01  2.6822e+02  2.8507e+01  1.2844e+03  3.1520e+01  2.1675e+01
   AFR  2.8215e+01  1.6155e+00  2.5526e+00  3.0150e+00  1.1205e+01  1.5825e+01  6.1519e+00  6.7449e+00  1.0270e+00  3.9636e+00  2.6029e+00  7.0865e+01  5.8515e+00  1.2923e+01  3.7851e+02  3.4286e+00
   RUS  1.0163e+02  5.0410e+00  7.4881e+00  6.0557e+00  3.3034e+01  7.5811e+01  1.9507e+01  9.5033e+00  4.9188e+00  8.9889e+00  1.6148e+01  2.9389e+02  8.5562e+01  6.2777e+01  9.0082e+00  1.5785e+03

     2         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   USA  5.2636e+03  8.7456e+01  1.0803e+02  2.1417e+01  8.3284e+01  1.4293e+02  4.3202e+01  1.0752e+01  5.8705e+00  1.6394e+01  6.2309e+01  2.5979e+02  2.3055e+01  4.8730e+01  2.0603e+01  1.4226e+01
   MEX  5.4533e+01  2.8998e+02  2.4579e+00  4.7603e-01  3.7255e+00  8.4482e+00  2.4492e+00  5.2298e-01  2.2039e-01  1.7263e+00  3.3502e+00  1.3704e+01  1.2295e+00  1.5240e+00  7.0960e-01  4.3282e-01
   CAN  1.4801e+02  4.3882e+00  3.2630e+02  1.9430e+00  7.8965e+00  1.4811e+01  4.0951e+00  1.2704e+00  7.2654e-01  1.6227e+00  4.7211e+00  3.1447e+01  3.1712e+00  4.7390e+00  1.9728e+00  1.5743e+00
   OCN  1.8335e+01  8.5533e-01  1.8375e+00  2.8527e+02  1.9489e+01  2.0955e+01  8.5928e+00  8.3762e+00  9.4469e-01  8.0943e-01  1.5600e+00  2.6046e+01  2.1700e+00  6.0628e+00  2.2771e+00  1.1882e+00
   JAP  4.8647e+01  2.9110e+00  3.7332e+00  6.4652e+00  1.0115e+03  5.9045e+01  1.6281e+01  2.4668e+00  1.2492e+00  2.3203e+00  3.7182e+00  4.1481e+01  4.0040e+00  1.5324e+01  3.2027e+00  2.9439e+00
   EAA  5.9484e+02  3.4133e+01  5.0887e+01  6.2640e+01  3.6341e+02  4.4991e+03  1.9233e+02  3.7057e+01  1.8118e+01  2.8956e+01  5.6087e+01  5.8195e+02  6.1254e+01  1.4883e+02  4.5659e+01  4.9823e+01
   SEA  8.0018e+01  4.8489e+00  6.8027e+00  2.6245e+01  5.4795e+01  9.1622e+01  5.5560e+02  8.8363e+00  6.9570e+00  3.2740e+00  6.9491e+00  1.1049e+02  1.2172e+01  2.6003e+01  7.7399e+00  7.1545e+00
   IND  4.2995e+01  2.0025e+00  3.6067e+00  7.8729e+00  1.2271e+01  2.8607e+01  1.8733e+01  1.0436e+03  1.3341e+01  3.2722e+00  4.1986e+00  6.7970e+01  6.0363e+00  4.5166e+01  1.8718e+01  4.6596e+00
