     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   TRN  1.1145e+02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   TRL  1.2122e+03  1.1825e+02  9.1010e+01  5.1589e+01  2.8682e+02  5.8561e+02  1.7656e+02  1.4090e+02  3.5883e+01  1.0841e+02  1.7573e+02  8.9289e+02  2.5345e+02  2.9652e+02  1.0896e+02  3.4227e+02
   TRA  6.4133e+02  8.3730e-01  3.7954e+01  5.9886e+01  2.6383e+01  1.0810e+02  7.3945e+01  8.7550e+00  4.8002e+00  1.7065e+01  3.1820e+01  2.2937e+02  3.7831e+01  3.6704e+01  2.7340e+01  5.3972e+01
   TRS  6.8643e+01  2.5842e+00  1.2577e+01  7.4989e+00  4.7124e+01  3.0106e+02  7.3120e+01  3.6101e+01  5.2618e+00  1.5123e+01  1.9171e+01  2.2393e+02  3.0987e+01  6.7032e+01  1.2419e+01  2.7781e+01
   OTS  2.8773e+03  3.6008e+01  2.2689e+02  2.1471e+02  7.0945e+02  2.6665e+03  3.3124e+02  3.0567e+02  5.5130e+01  1.0720e+02  2.0155e+02  2.0431e+03  4.8354e+02  4.5398e+02  2.1249e+02  5.4172e+02
   GOV  1.0315e+03  1.1856e+01  8.1956e+01  3.9149e+01  2.5813e+02  5.0310e+02  6.5701e+01  2.7014e+01  1.1866e+01  2.0155e+01  4.2664e+01  4.6855e+02  1.0480e+02  1.2697e+02  4.7273e+01  1.8393e+02
   INV  1.0394e+03  9.0200e+01  8.6468e+01  8.2584e+01  3.2700e+02  1.2795e+03  1.4210e+02  2.0426e+02  2.6536e+01  4.6883e+01  9.4290e+01  7.5436e+02  1.6246e+02  2.3728e+02  8.0825e+01  1.8365e+02
 AGF_I  2.1311e+01  5.5333e+00  5.7024e+00  1.5977e+00  2.4790e+01  3.2052e+01  1.1592e+01  1.8794e+00  3.8090e+00  1.3615e+00  6.9633e+00  8.7830e+01  1.3209e+01  2.0463e+01  4.7390e+00  9.5955e+00
 OIL_I  7.5858e+01  0.0000e+00  3.0431e+00  2.4495e+00  2.4749e+01  3.6422e+01  1.4586e+01  1.2814e+01  1.4561e+00  2.3502e+00  6.5352e+00  8.0485e+01  2.5650e+01  4.9522e+00  3.2102e+00  7.2506e-01
 GAS_I  2.9425e+01  1.3941e+00  7.7749e-01  3.1099e-02  1.2515e+01  6.0796e+00  2.9131e+00  0.0000e+00  0.0000e+00  2.0132e+00  2.6785e+00  4.4861e+01  1.8829e+01  5.1721e+00  1.4339e-02  3.7153e+00
 COL_I  8.9056e-01  1.3942e-01  5.3683e-01  2.7445e-02  1.1191e+01  1.1150e+01  1.2028e+00  1.5336e+00  3.4796e-01  1.0080e+00  3.9054e-01  1.4174e+01  3.8272e+00  3.3281e+00  1.2326e-01  2.1823e+00
 PTL_I  3.9563e+02  5.0831e+01  4.2664e+01  4.2802e+01  1.7606e+02  2.5966e+02  1.9597e+02  2.8822e+01  4.0269e+01  3.7533e+01  1.0599e+02  6.7657e+02  1.2924e+02  1.3759e+02  8.8019e+01  1.9611e+01
 MAN_I  9.0801e+02  9.0226e+01  1.4437e+02  8.2595e+01  2.9899e+02  6.1851e+02  2.9566e+02  4.2086e+01  2.8110e+01  2.5905e+01  9.4592e+01  1.3757e+03  2.3221e+02  2.3785e+02  8.7284e+01  8.2279e+01
 CHM_I  2.1459e+02  4.0740e+01  5.0146e+01  2.8832e+01  7.4777e+01  3.0529e+02  1.1564e+02  2.5398e+01  1.5933e+01  2.4402e+01  4.7879e+01  5.1138e+02  9.7307e+01  8.9767e+01  3.5348e+01  2.7413e+01
 CEM_I  4.2132e+01  3.9772e+00  7.3710e+00  5.9173e+00  1.5079e+01  2.5520e+01  1.4849e+01  2.0003e+00  3.2369e+00  1.2348e+00  5.1302e+00  6.4450e+01  1.6296e+01  1.8394e+01  7.4690e+00  6.9133e+00
 STL_I  5.9562e+01  8.0700e+00  1.2547e+01  6.2834e+00  1.8396e+01  1.1587e+02  5.1023e+01  9.3592e+00  4.2804e+00  1.3907e+00  1.1608e+01  1.6148e+02  3.8700e+01  7.0668e+01  1.1314e+01  1.4195e+01
